i,y
ei,e
oa,a
- a,-a
- i,-y
- u,-u
- e,-e
- o,-o
- 'i,-'i
- 'i,-'i
- ei,-e
- oa,-a
a R,a-
i R,y-
u R,u-
e R,e-
o R,o-
e R,e-
'i R,i-
ei R,e-
oa R,a-
- k,-k
- k',-k'
- g,-g
- g',-g'
- s,-s
- s',-s'
- z,-z
- z',-z'
- t,-t
- t',-t'
- d,-d
- d',-d'
- f,-f
- f',-f'
- v,-v
- v',-v'
- p,-p
- p',-p'
- b,-b
- b',-b'
- l,-l
- l',-l'
- m,-m
- m',-m'
- n,-n
- n',-n'
- r,-r
- r',-r'
- h,-h
- h',-h'
- sh,-w
- sh',-w'
- zh,-j
- ts,-c
- y,-~
- ch,-4'
a k,ak-
a k,ak
i k,yk-
i k,yk
u k,uk-
u k,uk
e k,ek-
e k,ek
o k,ok-
o k,ok
'i k,ik-
'i k,ik
ei k,ek-
ei k,ek
oa k,ak-
oa k,ak
a k',ak'-
a k',ak'
'i k',ik'-
'i k',ik'
u k',uk'-
u k',uk'
e k',ek'-
e k',ek'
o k',ok'-
o k',ok'
i k',yk'-
i k',yk'
ei k',ek'-
ei k',ek'
oa k',ak'-
oa k',ak'
a g,ag-
a g,ag
i g,yg-
i g,yg
u g,ug-
u g,ug
e g,eg-
e g,eg
o g,og-
o g,og
'i g,ig-
'i g,ig
ei g,eg-
ei g,eg
oa g,ag-
oa g,ag
a g',ag'-
a g',ag'
'i g',ig'-
'i g',ig'
u g',ug'-
u g',ug'
e g',eg'-
e g',eg'
o g',og'-
o g',og'
i g',yg'-
i g',yg'
ei g',eg'-
ei g',eg'
oa g',ag'-
oa g',ag'
a s,as-
a s,as
i s,ys-
i s,ys
u s,us-
u s,us
e s,es-
e s,es
o s,os-
o s,os
'i s,is-
'i s,is
ei s,es-
ei s,es
oa s,as-
oa s,as
a s',as'-
a s',as'
'i s',is'-
'i s',is'
u s',us'-
u s',us'
e s',es'-
e s',es'
o s',os'-
o s',os'
i s',ys'-
i s',ys'
ei s',es'-
ei s',es'
oa s',as'-
oa s',as'
a z,az-
a z,az
i z,yz-
i z,yz
u z,uz-
u z,uz
e z,ez-
e z,ez
o z,oz-
o z,oz
'i z,iz-
'i z,iz
ei z,ez-
ei z,ez
oa z,az-
oa z,az
a z',az'-
a z',az'
'i z',iz'-
'i z',iz'
u z',uz'-
