a_oa_a_i_e_i_a_a	а_(о)_а_ы_э_ы_а_а
i_oa_i_u_o_u_i_i	ы_(о)_ы_у_о_у_ы_ы
u_oa_u_e_a_e_u_u	у_(о)_у_э_а_э_у_у
e_ei_e_o_i_u_e_e	э_(э)_э_о_ы_у_э_э
o_ei_o_a_u_a_o_o	о_(э)_о_а_у_а_о_о
'i_ei_'i_a_'i_i_'i_e	и_(э)_и_а_и_ы_и_э
'i_oa_'i_o_'i_u_'i_'i	и_(о)_и_о_и_у_и_и
ei_ei_a_ei_i_ei_u_ei	(э)_(э)_а_(э)_ы_(э)_у_(э)
oa_oa_e_oa_o_oa_ei_oa	(о)_(о)_э_(о)_о_(о)_(э)_(о)
ka_koa_ka_ki_ke_ki_ka_kak	ка_к(о)_ка_кы_кэ_кы_ка_как
ki_koa_ki_ku_ko_ku_ki_kik	кы_к(о)_кы_ку_ко_ку_кы_кык
ku_koa_ku_ke_ka_ke_ku_kuk	ку_к(о)_ку_кэ_ка_кэ_ку_кук
ke_kei_ke_ko_ki_ku_ke_kek	кэ_к(э)_кэ_ко_кы_ку_кэ_кэк
ko_kei_ko_ka_ku_ka_ko_kok	ко_к(э)_ко_ка_ку_ка_ко_кок
k'i_kei_k'i_ka_k'i_ki_k'i_kek	ки_к(э)_ки_ка_ки_кы_ки_кэк
k'i_koa_k'i_ko_k'i_ku_k'i_k'ik	ки_к(о)_ки_ко_ки_ку_ки_кик
kei_kei_ka_kei_ki_kei_ku_keik	к(э)_к(э)_ка_к(э)_кы_к(э)_ку_к(э)к
koa_koa_ke_koa_ko_koa_kei_koak	к(о)_к(о)_кэ_к(о)_ко_к(о)_к(э)_к(о)к
k'a_k'oa_k'a_k'i_k'e_k'i_k'a_k'ak'	кя_к(я)_кя_ки_ке_ки_кя_кякь
k'i_k'oa_k'i_k'u_k'o_k'u_k'i_k'ik'	ки_к(я)_ки_кю_кё_кю_ки_кикь
k'u_k'oa_k'u_k'e_k'a_k'e_k'u_k'uk'	кю_к(я)_кю_ке_кя_ке_кю_кюкь
k'e_k'ei_k'e_k'o_k'i_k'u_k'e_k'ek'	ке_к(е)_ке_кё_ки_кю_ке_кекь
k'o_k'ei_k'o_k'a_k'u_k'a_k'o_k'ok'	кё_к(е)_кё_кя_кю_кя_кё_кёкь
ki_k'ei_ki_k'a_ki_k'i_ki_k'ek'	кы_к(е)_кы_кя_кы_ки_кы_кекь
ki_k'oa_ki_k'o_ki_k'u_ki_kik'	кы_к(я)_кы_кё_кы_кю_кы_кыкь
k'ei_k'ei_k'a_k'ei_k'i_k'ei_k'u_k'eik'	к(е)_к(е)_кя_к(е)_ки_к(е)_кю_к(е)кь
k'oa_k'oa_k'e_k'oa_k'o_k'oa_k'ei_k'oak'	к(я)_к(я)_ке_к(я)_кё_к(я)_к(е)_к(я)кь
ga_goa_ga_gi_ge_gi_ga_gag	га_г(о)_га_гы_гэ_гы_га_гаг
gi_goa_gi_gu_go_gu_gi_gig	гы_г(о)_гы_гу_го_гу_гы_гыг
gu_goa_gu_ge_ga_ge_gu_gug	гу_г(о)_гу_гэ_га_гэ_гу_гуг
ge_gei_ge_go_gi_gu_ge_geg	гэ_г(э)_гэ_го_гы_гу_гэ_гэг
go_gei_go_ga_gu_ga_go_gog	го_г(э)_го_га_гу_га_го_гог
g'i_gei_g'i_ga_g'i_gi_g'i_geg	ги_г(э)_ги_га_ги_гы_ги_гэг
